"Chapitre 1 ","Chapitre 2","Chapitre 3","Chapitre 4","Chapitre 5"
"100","99","90","12","12"
"8","63","90","40","60"
"84","18","10","96","28"
"24","45","95","88","28"
"100","99","65","12","60"
"8","99","30","8","40"
"88","48","85","52","28"
"84","96","25","20","44"
"0","69","95","32","100"
"44","30","80","84","44"
"44","27","50","16","88"
"60","30","90","36","24"
"100","90","85","16","20"
"64","63","10","0","40"
"16","75","50","28","96"
"8","63","60","48","44"
"4","90","0","0","80"
"16","54","75","76","80"
"88","39","100","84","72"
"76","75","0","76","68"
"52","36","55","72","100"
"72","90","70","88","80"
"100","21","90","16","4"
"92","45","40","96","24"
"40","42","80","0","12"
"36","45","70","92","68"
"96","69","50","52","48"
"88","60","95","92","28"
"12","0","45","4","52"
"12","48","65","8","8"
"8","99","100","32","8"
"40","57","25","52","20"
"48","12","80","24","68"
"44","30","85","36","32"
"52","90","0","92","84"
"28","60","85","12","20"
"76","78","30","84","56"
"80","78","70","28","100"
"32","78","95","100","44"
"92","96","55","48","100"
"96","21","20","88","72"
"96","27","15","24","4"
"12","39","85","0","8"
"24","78","5","36","16"
"48","69","55","88","92"
"16","27","10","8","84"
"92","72","45","52","20"
"48","21","65","0","16"
"36","0","20","52","100"
"32","99","30","0","16"
"92","72","10","80","36"
"0","78","70","48","60"
"44","0","45","16","0"
"80","102","0","84","16"
"36","9","60","60","96"
"16","48","15","32","24"
"68","90","90","96","28"
"20","78","30","44","60"
"56","69","0","28","72"
"76","81","50","4","28"
"96","78","55","48","60"
"76","63","65","84","92"
"64","18","95","12","100"
"56","30","90","68","72"
"0","15","80","8","28"
"44","45","100","68","0"
"8","87","5","76","32"
"84","87","55","0","96"
"32","99","70","96","92"
"56","72","45","8","64"
"52","81","5","100","100"
"80","57","75","40","52"
"100","57","0","64","16"
"8","75","50","32","40"
"28","54","90","88","84"
"8","42","40","36","64"
"76","96","20","80","72"
"100","21","5","52","48"
"76","69","15","64","96"
"8","84","20","92","60"
"60","30","55","76","92"
"84","21","80","20","52"
"0","3","5","40","20"
"20","87","75","64","60"
"28","6","85","100","48"
"56","21","55","72","20"
"60","24","0","96","28"
"8","63","100","56","20"
"68","24","15","80","36"
"100","3","60","88","80"
"100","60","70","36","80"
"8","69","75","88","20"
"44","93","45","4","20"
"28","36","40","64","100"
"0","72","60","68","84"
"24","21","25","12","100"
"48","81","95","44","68"
"16","18","55","48","20"
"88","57","5","32","80"
"36","72","20","100","76"
"64","72","95","28","84"
"32","3","5","56","40"
"32","72","10","8","72"
"76","0","85","80","28"
"36","60","25","28","44"
"32","54","20","28","64"
"4","39","0","36","88"
"0","63","35","68","84"
"56","24","20","16","76"
"52","48","100","12","24"
"100","51","35","60","76"
"4","15","15","100","68"
"12","39","35","60","96"
"20","45","75","44","76"
"56","9","15","84","60"
"8","72","60","68","36"
"68","48","35","72","32"
"12","78","100","44","72"
"84","51","5","76","40"
"28","81","80","8","96"
"88","60","0","56","36"
"64","54","100","20","4"
"44","84","30","68","60"
"36","84","90","88","44"
"40","96","100","0","52"
"64","75","25","36","20"
"16","102","95","72","84"
"64","21","20","84","72"
"28","57","95","32","68"
"36","99","100","68","84"
"0","21","10","20","12"
"0","93","35","32","12"
"4","66","40","36","84"
"84","36","45","68","56"
"72","18","50","68","28"
"12","99","5","64","60"
"36","33","45","44","96"
"80","81","55","64","28"
"92","36","60","32","8"
"4","0","0","56","24"
"96","51","25","20","64"
"92","21","80","60","64"
"88","45","90","28","8"
"80","99","15","92","4"
"12","84","90","0","56"
"0","81","80","48","12"
"100","66","55","20","44"
"68","30","20","72","32"
"56","99","75","24","52"
"84","36","95","84","96"
"4","15","40","44","40"
"60","27","30","32","56"
"0","54","80","0","20"
"84","33","35","60","80"
"64","90","10","28","72"
"24","84","95","4","40"
"24","81","15","28","28"
"60","0","0","96","72"
"48","78","85","64","40"
"64","102","20","28","0"
"56","78","5","32","28"
"60","30","100","16","28"
"52","63","30","20","48"
"20","57","45","0","20"
"20","48","35","60","72"
"96","3","25","16","24"
"64","9","20","60","0"
"80","93","85","60","72"
"64","24","60","32","12"
"44","33","15","24","56"
"0","36","75","56","40"
"92","78","85","72","28"
"52","0","10","48","36"
"52","42","90","72","60"
"40","9","80","36","8"
"24","96","95","4","44"
"36","93","60","68","4"
"0","57","50","36","28"
"68","27","30","100","8"
"4","0","0","96","60"
"24","87","30","32","100"
"12","93","10","52","16"
"72","51","100","100","72"
"56","12","45","60","40"
"12","54","90","80","52"
"84","99","90","4","84"
"12","54","60","76","68"
"36","69","85","16","36"
"80","27","55","28","72"
"60","99","60","56","28"
"4","54","45","56","44"
"28","42","75","40","76"
"52","30","40","44","68"
"72","3","70","0","84"
"44","54","75","20","80"
"32","36","95","12","52"
"28","87","75","48","40"
"68","3","90","88","60"
"60","51","60","68","24"
"60","33","100","88","68"
"44","21","75","72","36"
"36","54","80","48","72"
"0","87","30","48","20"
"52","81","20","80","88"
"80","21","80","36","44"
"32","60","25","40","8"
"0","72","30","36","0"
"40","51","10","96","20"
"48","72","35","56","96"
"76","54","100","12","68"
"84","51","30","0","16"
"28","84","45","40","80"
"100","30","55","32","24"
"44","78","35","24","20"
"80","78","80","44","0"
"60","93","80","60","100"
"8","99","5","64","4"
"52","42","80","52","28"
"72","6","10","80","76"
"100","87","90","0","92"
"48","102","100","8","36"
"32","39","90","24","100"
"0","60","45","72","92"
"64","24","50","100","48"
"40","99","40","80","12"
"48","42","60","52","24"
"32","87","65","36","32"
"12","63","60","48","80"
"44","18","90","48","44"
"32","6","10","84","36"
"16","51","40","60","24"
"8","0","35","72","88"
"44","87","20","16","100"
"64","57","80","48","48"
"84","63","55","68","88"
"8","6","0","72","68"
"64","78","15","68","88"
"80","54","70","16","12"
"4","24","70","0","32"
"48","57","50","84","56"
"76","63","70","80","24"
"16","93","45","84","36"
"52","24","100","60","32"
"80","6","50","56","16"
"96","78","25","8","4"
"24","45","45","96","76"
"100","84","95","60","96"
"100","12","30","76","60"
"64","15","60","44","76"
"92","0","15","72","16"
"88","48","85","28","88"
"24","93","60","100","88"
"12","87","75","72","52"
"28","63","10","96","60"
"48","78","40","64","8"
"56","69","65","44","48"
"56","3","75","76","52"
"96","102","5","40","92"
"80","90","40","72","56"
"96","81","20","28","0"
"8","57","80","48","100"
"36","33","10","76","96"
"84","81","50","8","60"
"28","78","15","52","48"
"96","54","100","64","48"
"0","72","95","48","8"
"40","39","15","92","72"
"36","87","70","84","92"
"72","0","60","88","88"
"20","18","60","68","52"
"20","84","55","48","76"
"32","18","75","60","100"
"52","78","95","16","32"
"60","66","55","68","68"
"92","6","55","56","20"
"96","75","100","64","92"
"56","90","60","24","16"
"84","9","40","84","96"
"48","9","35","60","24"
"32","27","30","56","56"
"68","69","20","88","48"
"36","39","35","76","4"
"48","18","95","92","28"
"60","84","80","4","4"
"12","24","5","68","0"
"20","9","65","36","64"
"68","30","30","4","4"
"56","45","35","96","92"
"12","63","50","20","4"
"16","90","15","96","80"
"12","57","55","40","20"
"0","18","0","76","84"
"4","3","60","68","52"
"0","75","30","8","36"
"40","36","45","12","4"
"68","81","75","28","100"
"68","9","65","8","16"
"28","78","50","16","8"
"60","30","5","4","92"
"36","99","65","48","68"
"68","45","0","20","36"
"28","48","40","16","92"
"84","78","25","60","48"
"52","78","50","24","0"
"84","42","0","52","100"
"8","75","95","0","44"
"48","21","75","72","84"
"0","99","15","52","80"
"80","93","0","60","32"
"96","48","65","0","88"
"12","21","0","52","80"
"32","63","60","80","64"
"72","9","55","52","52"
"40","36","60","24","88"
"100","45","35","84","76"
"48","78","45","12","40"
"68","0","95","92","60"
"48","24","60","96","20"
"40","15","45","48","32"
"100","30","0","24","36"
"24","0","15","92","60"
"52","6","80","36","32"
"56","60","10","24","64"
"8","57","75","96","48"
"96","51","85","68","36"
"92","24","5","20","28"
"92","18","15","88","96"
"76","96","100","100","76"
"100","51","45","72","80"
"56","84","20","4","96"
"40","48","95","80","20"
"8","3","15","68","40"
"32","78","95","24","4"
"24","24","55","96","32"
"88","102","20","0","72"
"96","15","60","100","68"
"80","48","95","0","60"
"76","6","5","60","52"
"72","12","75","96","16"
"4","24","0","40","44"
"56","54","35","88","8"
"44","84","70","32","4"
"40","24","95","16","56"
"48","30","35","8","48"
"8","78","80","48","12"
"56","60","30","56","60"
"72","81","20","52","92"
"96","42","55","64","96"
"96","54","70","92","60"
"20","42","20","88","44"
"72","42","85","52","76"
"44","60","60","96","48"
"28","66","15","40","8"
"80","12","20","76","0"
"40","81","90","24","32"
"76","84","65","56","88"
"72","63","30","80","36"
"0","96","65","36","72"
"60","84","5","60","28"
"8","48","65","64","20"
"32","84","45","76","100"
"12","51","40","60","100"
"88","102","90","12","80"
"24","69","100","32","52"
"40","66","45","100","60"
"36","21","75","28","52"
"84","42","40","100","24"
"40","9","50","52","100"
"56","18","80","32","4"
"0","24","0","52","28"
"84","93","100","100","96"
"92","54","70","12","28"
"84","51","55","84","24"
"56","9","30","32","84"
"68","51","50","48","28"
"44","93","70","20","56"
"48","96","60","96","84"
"0","48","100","84","16"
"96","57","40","4","76"
"16","63","45","68","56"
"24","39","95","72","56"
"48","99","5","36","44"
"68","42","50","4","20"
"32","60","80","84","48"
"48","72","15","0","76"
"16","0","30","16","92"
"40","3","35","28","100"
"4","93","70","48","72"
"96","15","40","36","36"
"0","78","75","88","44"
"56","69","10","24","48"
"8","66","95","32","48"
"80","63","90","56","64"
"76","75","80","64","92"
"12","78","80","64","88"
"0","57","75","8","56"
"72","9","25","92","76"
"16","87","0","4","4"
"36","54","55","100","84"
"64","66","70","40","0"
"20","33","60","52","100"
"24","24","25","88","4"
"32","9","70","100","16"
"72","36","30","68","72"
"96","18","15","88","0"
"76","63","50","84","52"
"96","57","75","4","56"
"32","99","15","80","12"
"96","75","55","68","44"
"80","90","50","24","72"
"52","75","60","8","72"
"60","102","15","16","28"
"96","51","10","92","4"
"12","27","90","36","84"
"68","24","25","48","36"
"52","57","55","44","32"
"92","48","35","80","80"
"28","27","20","72","68"
"76","63","65","56","28"
"60","87","50","16","36"
"96","45","35","80","96"
"84","69","5","24","8"
"20","102","20","64","60"
"76","78","15","72","36"
"40","63","70","76","56"
"52","93","30","4","76"
"76","93","10","88","12"
"32","90","15","52","76"
"92","63","25","68","80"
"92","42","70","28","48"
"32","54","65","76","16"
"88","39","50","72","100"
"44","3","55","36","12"
"72","42","40","88","4"
"40","6","25","68","88"
"80","39","80","68","12"
"12","42","35","88","56"
"20","69","90","72","8"
"20","75","85","8","60"
"36","69","55","56","52"
"32","60","25","76","64"
"52","6","0","24","84"
"12","30","60","60","16"
"80","63","45","36","52"
"40","93","85","0","12"
"56","48","5","68","24"
"84","3","70","80","28"
"16","24","85","92","56"
"44","99","100","52","56"
"28","78","20","0","44"
"80","72","95","20","28"
"80","99","5","88","52"
"52","12","60","100","80"
"72","78","50","100","96"
"80","96","95","12","12"
"88","9","45","0","92"
"28","90","45","88","44"
"8","69","70","36","92"
"60","75","10","4","32"
"0","48","80","68","20"
"84","84","90","0","52"
"84","96","45","12","28"
"92","51","5","60","80"
"28","12","25","12","92"
"56","30","50","84","28"
"16","27","65","60","64"
"44","12","5","100","44"
"0","45","65","60","32"
"44","96","50","88","60"
"100","90","85","52","44"
"4","75","65","80","60"
"0","24","55","92","32"
"36","30","40","88","100"
"8","54","95","88","20"
"64","93","10","32","88"
"32","6","60","64","76"
"88","60","55","80","48"
"88","39","55","84","36"
"56","12","35","96","48"
"56","3","20","8","20"
"72","57","10","8","84"
"60","102","25","28","52"
"28","21","65","100","0"
"32","93","55","88","40"
"60","87","40","40","80"
"80","36","90","24","68"
"48","99","65","64","96"
"12","66","85","20","16"
"100","18","10","16","20"
"56","45","80","16","80"
"92","6","15","40","64"
"48","27","55","32","92"
"88","24","90","92","4"
"36","33","30","60","20"
"72","90","50","84","80"
"48","81","5","28","24"
"12","27","25","28","16"
"40","87","5","28","8"
"88","6","5","72","32"
"68","96","30","48","12"
"76","66","80","32","88"
"88","15","20","32","20"
"12","84","25","56","64"
"88","45","55","88","100"
"32","36","30","72","28"
"92","54","60","32","52"
"16","72","100","60","40"
"64","87","5","60","96"
"28","21","30","76","12"
"48","99","90","76","80"
"88","90","20","20","88"
"72","27","100","36","12"
"56","42","80","32","12"
"64","87","30","64","48"
"76","21","30","84","36"
"84","63","85","0","60"
"40","36","100","68","4"
"20","54","25","24","96"
"48","30","100","28","24"
"76","33","80","72","48"
"8","33","5","8","16"
"100","30","60","100","56"
"56","3","75","72","96"
"92","96","0","36","76"
"60","54","25","76","52"
"12","45","70","48","48"
"80","45","70","16","48"
"92","87","40","16","20"
"72","87","5","88","48"
"32","78","75","60","80"
"100","36","0","52","96"
"4","81","70","24","100"
"92","102","50","76","32"
"76","66","75","0","68"
"0","90","35","56","100"
"12","99","20","84","68"
"48","99","20","36","20"
"80","18","65","76","68"
"12","51","0","8","24"
"72","18","100","28","0"
"80","0","40","48","64"
"36","48","5","68","4"
"80","48","90","40","12"
"96","90","100","16","4"
"32","33","70","76","92"
"88","15","35","100","84"
"24","15","30","64","60"
"68","48","25","100","44"
"100","60","15","76","24"
"40","3","35","80","92"
"80","0","20","20","24"
"84","66","25","72","64"
"36","90","35","48","32"
"28","54","40","12","0"
"72","45","35","32","64"
"20","54","60","100","48"
"32","42","60","8","80"
"8","75","10","4","100"
"16","21","65","88","72"
"28","66","35","32","16"
"16","93","45","12","80"
"8","78","75","100","96"
"36","24","25","16","80"
"48","60","10","96","0"
"56","12","100","8","32"
"52","72","70","20","72"
"72","30","40","76","4"
"76","93","25","52","56"
"16","99","5","92","44"
"20","75","5","32","12"
"4","15","60","8","100"
"56","66","90","0","36"
"100","93","15","36","28"
"88","39","55","84","72"
"84","54","90","100","16"
"80","24","40","24","44"
"0","45","75","44","28"
"64","51","5","40","56"
"100","57","60","56","28"
"12","72","25","76","0"
"44","63","75","60","40"
"24","96","95","12","32"
"48","57","90","72","100"
"72","90","80","12","4"
"76","78","10","52","80"
"36","96","25","92","92"
"8","54","85","28","76"
"72","54","40","100","52"
"72","63","55","8","0"
"48","57","65","4","72"
"60","81","65","68","88"
"20","27","50","24","36"
"52","42","65","16","32"
"88","84","0","4","0"
"44","6","30","20","4"
"12","69","60","84","36"
"92","57","10","68","60"
"8","0","100","16","52"
"28","69","75","48","88"
"8","57","55","44","96"
"64","72","95","32","80"
"36","15","60","72","8"
"32","0","95","28","52"
"80","48","50","100","48"
"84","69","15","60","44"
"80","69","40","92","84"
"96","36","30","68","76"
"4","99","0","64","16"
"60","27","65","20","88"
"24","99","80","32","92"
"44","57","50","8","60"
"84","12","15","84","84"
"4","33","30","4","8"
"100","30","35","68","40"
"48","27","35","92","36"
"8","9","60","52","80"
"96","66","10","12","80"
"56","9","15","64","84"
"52","18","60","32","36"
"24","87","95","56","0"
"88","24","10","0","44"
"16","9","90","92","96"
"100","27","30","56","16"
"48","33","55","36","4"
"64","90","25","52","16"
"76","51","15","52","28"
"12","27","65","28","48"
"68","84","85","24","24"
"36","3","100","48","56"
"36","60","30","88","72"
"88","33","55","4","40"
"44","18","85","8","20"
"60","90","55","4","56"
"64","33","10","88","44"
"64","66","35","0","12"
"60","33","15","72","12"
"68","78","95","92","20"
"4","99","70","72","32"
"68","48","60","52","72"
"28","21","40","56","84"
"8","96","70","48","72"
"68","48","40","4","100"
"36","63","45","24","52"
"56","0","30","32","20"
"72","21","30","16","44"
"96","93","70","56","12"
"32","0","50","56","68"
"92","18","90","48","92"
"0","102","30","16","20"
"4","3","50","76","68"
"48","66","65","56","56"
"28","63","85","28","96"
"68","0","80","88","8"
"64","75","45","96","92"
"80","51","15","4","100"
"36","75","10","72","40"
"44","15","10","16","28"
"4","3","25","60","4"
"84","6","5","76","8"
"100","90","95","40","8"
"96","78","35","68","28"
"84","90","55","0","32"
"48","12","25","92","48"
"48","87","5","92","100"
"24","36","50","40","0"
"20","18","30","56","28"
"28","27","95","16","56"
"12","21","35","56","96"
"48","51","50","52","40"
"100","63","20","92","84"
"12","12","25","16","100"
"36","99","60","96","56"
"92","78","15","52","52"
"16","102","5","64","100"
"56","75","5","12","28"
"4","54","60","60","72"
"52","21","10","68","20"
"20","51","100","44","68"
"80","57","95","72","84"
"84","75","25","36","32"
"8","90","10","68","16"
"4","36","95","0","32"
"84","9","60","84","12"
"56","81","100","24","100"
"88","0","35","44","12"
"48","24","60","40","68"
"52","81","15","4","4"
"36","6","60","60","12"
"24","36","65","44","92"
"72","93","30","44","36"
"28","6","0","84","84"
"28","60","45","16","4"
"76","90","15","0","8"
"24","81","40","16","48"
"76","27","85","84","40"
"48","0","80","76","24"
"72","21","85","80","92"
"0","42","65","40","60"
"48","78","10","64","20"
"24","30","50","32","44"
"40","90","65","84","88"
"16","81","15","48","80"
"80","3","50","100","8"
"4","12","25","68","12"
"80","93","70","16","96"
"88","72","45","92","16"
"88","66","15","60","12"
"48","0","25","52","24"
"0","36","15","96","28"
"84","30","65","76","60"
"84","48","15","92","0"
"36","48","70","96","0"
"100","36","5","40","4"
"56","48","80","12","68"
"100","75","65","8","80"
"56","0","90","48","32"
"56","87","60","52","60"
"48","96","45","96","80"
"28","99","15","44","92"
"84","18","65","4","100"
"100","0","35","56","76"
"0","21","100","64","88"
"36","33","75","0","4"
"72","72","5","68","96"
"36","63","80","28","68"
"8","3","0","100","88"
"12","33","20","40","96"
"100","81","50","100","32"
"44","0","55","56","32"
"84","3","30","20","60"
"68","81","95","76","60"
"36","69","55","24","40"
"72","42","80","4","64"
"8","87","15","8","60"
"76","3","5","52","56"
"56","33","65","48","68"
"80","12","95","32","44"
"12","99","45","44","72"
"88","42","80","84","44"
"12","3","10","0","8"
"96","27","100","92","100"
"32","69","75","100","96"
"36","99","55","92","48"
"32","39","10","76","76"
"24","24","70","24","44"
"24","69","5","48","4"
"4","99","40","88","40"
"52","90","40","20","52"
"8","57","35","88","80"
"44","87","20","0","100"
"28","18","85","52","84"
"44","66","0","24","32"
"28","48","0","4","80"
"80","96","65","16","80"
"88","0","95","44","68"
"96","18","95","36","40"
"20","27","80","56","84"
"44","45","25","68","4"
"12","21","10","28","92"
"4","45","80","20","64"
"36","42","65","84","72"
"12","12","5","48","60"
"48","42","45","0","72"
"36","54","65","52","32"
"68","54","60","16","12"
"8","96","90","56","20"
"68","102","85","48","36"
"100","48","70","48","8"
"96","39","55","68","36"
"24","63","5","32","64"
"24","45","90","48","44"
"84","27","50","88","36"
"4","39","85","84","80"
"24","69","60","96","8"
"0","99","55","96","64"
"28","84","35","0","64"
"16","15","10","64","48"
"64","27","50","96","40"
"72","75","15","80","60"
"44","60","65","52","88"
"28","99","5","100","32"
"52","3","45","48","36"
"64","96","95","24","8"
"12","48","70","24","60"
"56","33","95","52","56"
"16","78","45","36","100"
"72","90","25","40","0"
"40","39","15","12","20"
"76","96","90","36","52"
"80","96","40","80","68"
"68","42","20","96","72"
"92","93","25","40","64"
"68","36","70","68","40"
"40","54","85","40","100"
"84","33","70","96","4"
"16","9","35","12","64"
"84","6","10","56","56"
"40","54","100","56","76"
"24","45","65","44","56"
"40","0","15","52","40"
"80","12","45","56","48"
"72","66","35","4","52"
"88","9","80","88","28"
"4","84","35","100","4"
"8","27","30","44","32"
"0","24","70","40","36"
"4","93","40","96","84"
"12","9","10","88","52"
"68","27","40","68","0"
"36","90","90","20","72"
"88","24","90","48","12"
"16","42","5","56","76"
"100","42","80","44","100"
"48","9","60","12","48"
"92","54","25","72","52"
"76","93","0","32","40"
"0","51","55","32","84"
"36","27","90","64","8"
"88","87","50","40","72"
"96","45","90","32","4"
"36","87","85","36","40"
"80","42","40","96","4"
"64","54","60","72","84"
"44","0","0","68","32"
"80","24","100","72","28"
"76","99","95","8","60"
"72","81","5","92","4"
"40","18","50","84","84"
"44","12","5","100","32"
"76","78","20","12","36"
"52","96","15","68","44"
"12","18","55","76","40"
"84","84","30","88","40"
"8","75","5","84","28"
"52","3","70","4","100"
"36","63","70","20","92"
"12","102","10","4","20"
"32","9","30","100","72"
"48","27","35","32","12"
"44","30","25","16","32"
"16","87","50","92","76"
"36","9","30","56","52"
"28","87","40","52","44"
"24","21","85","36","32"
"20","3","55","76","16"
"0","99","70","72","12"
"72","54","40","8","56"
"64","72","25","68","64"
"44","87","10","84","28"
"4","63","55","76","28"
"88","27","30","16","28"
"0","48","95","76","68"
"76","12","25","24","100"
"92","78","85","0","8"
"28","87","40","36","16"
"76","63","40","68","56"
"60","72","90","56","100"
"4","51","80","92","20"
"76","57","85","64","48"
"48","42","35","76","96"
"12","27","55","52","8"
"32","57","80","16","0"
"8","21","0","16","36"
"12","54","15","12","4"
"4","51","65","64","72"
"92","81","90","24","12"
"28","36","90","24","84"
"52","24","70","44","8"
"40","81","90","48","52"
"0","66","70","40","68"
"92","39","40","8","88"
"36","81","55","16","16"
"68","57","65","8","84"
"20","30","100","96","100"
"8","45","15","92","4"
"4","66","25","72","12"
"60","51","5","44","64"
"36","9","30","20","16"
"64","48","15","8","40"
"28","3","0","72","96"
"32","75","95","8","52"
"36","69","20","92","32"
"8","57","45","12","88"
"28","42","0","16","88"
"88","60","10","20","76"
"20","57","75","64","84"
"80","24","95","80","88"
"68","6","20","28","96"
"28","96","35","64","52"
"28","84","80","0","32"
"76","6","55","100","84"
"100","36","15","16","56"
"16","18","40","56","68"
"32","81","65","32","8"
"80","87","15","100","44"
"8","54","25","64","20"
"24","69","90","24","12"
"72","57","35","48","24"
"16","66","90","28","60"
"12","15","80","24","44"
"24","36","25","36","92"
"16","84","50","28","16"
"36","45","45","4","40"
"0","60","25","68","48"
"68","9","75","80","92"
"52","84","70","20","20"
"4","96","100","84","76"
"4","87","90","28","68"
"80","93","35","44","48"
"0","45","95","32","16"
"92","12","45","72","72"
"36","45","55","20","60"
"40","30","10","76","92"
"80","60","55","100","52"
"52","75","60","4","56"
"32","75","60","96","72"
"88","51","0","40","16"
"24","18","20","92","92"
"100","57","95","40","56"
"84","24","95","68","52"
"12","45","70","56","36"
"20","15","80","0","40"
"84","0","100","80","32"
"56","39","15","72","8"
"52","36","20","60","8"
"36","36","95","88","36"
"40","93","90","32","52"
"52","81","40","36","12"
"56","9","15","92","64"
"16","63","10","52","96"
"24","27","5","52","12"
"100","12","85","20","60"
"56","15","5","20","40"
"52","18","15","80","8"
"80","27","35","40","8"
"60","87","100","68","40"
"64","39","95","48","72"
"32","3","70","24","48"
"8","96","5","4","96"
"60","6","45","68","32"
"32","48","75","72","4"
"28","63","15","4","8"
"36","15","45","28","28"
"0","9","45","96","52"
"64","75","35","0","64"
"68","51","80","16","88"
"76","12","70","68","40"
"100","42","50","56","8"
"92","21","95","80","96"
"36","6","80","8","80"
"44","81","95","100","80"
"20","96","55","88","56"
"60","87","60","20","24"
"4","96","80","88","44"
"76","18","40","44","48"
"4","33","15","72","4"
"20","99","10","96","52"
"4","42","45","72","68"
"12","96","85","80","100"
"4","90","10","0","68"
"96","6","20","44","4"
"8","39","65","72","80"
"56","6","15","76","100"
"16","63","95","100","40"
"4","81","65","4","84"
"64","66","10","88","32"
"0","48","85","32","48"
"40","12","65","64","44"
"4","66","50","92","0"
"40","3","5","44","68"
"72","99","55","48","56"
"40","54","5","36","60"
"28","12","5","12","24"
"40","63","75","80","12"
